,hot,episode,guzhuang,Bilibili,LeTV,Youku,multi,Sohu,Aiqy,Tencent,MangoTV,time,actor_con,actor_degree,director_con,director_degree
1633,19.54,20.0,1,0,0,1,0,0,0,0,0,13,0.3333333333333333,0.016574585635359115,0.05555555555555555,0.012474012474012475
1644,29.32,25.311475409836067,0,0,0,1,0,0,0,0,0,14,1.0,0.0055248618784530384,0.14285714285714285,0.0048510048510048516
1653,19.59,25.311475409836067,0,0,0,1,0,0,0,0,0,14,0.20000000000000004,0.027624309392265192,0.05555555555555555,0.012474012474012475
1668,39.06,20.0,0,0,0,0,0,0,0,0,1,14,0.25,0.022099447513812154,0.16666666666666669,0.004158004158004158
1671,34.39,25.311475409836067,0,0,0,1,0,0,0,0,0,14,0.5,0.011049723756906077,0.05555555555555555,0.012474012474012475
1680,76.31,35.0,1,0,0,0,1,0,0,0,0,14,0.14285714285714285,0.038674033149171276,0.01886792452830187,0.036729036729036726
1687,30.29,24.0,1,0,0,1,0,0,0,0,0,14,0.5,0.011049723756906077,0.07692307692307694,0.009009009009009009
1689,67.51,30.0,0,0,0,0,0,0,0,0,1,14,0.25,0.022099447513812154,0.05555555555555555,0.012474012474012475
1696,30.43,32.0,1,0,0,1,0,0,0,0,0,14,0.5,0.011049723756906077,0.05555555555555555,0.012474012474012475
1697,24.88,20.0,0,0,0,1,0,0,0,0,0,14,1.0,0.0055248618784530384,1.0,0.000693000693000693
1708,19.12,30.0,0,0,0,1,0,0,0,0,0,14,0.5,0.011049723756906077,0.5,0.001386001386001386
1709,19.62,30.0,0,0,0,1,0,0,0,0,0,14,0.5,0.011049723756906077,0.5,0.001386001386001386
1710,20.15,30.0,0,0,0,1,0,0,0,0,0,14,0.5,0.011049723756906077,0.5,0.001386001386001386
1717,18.16,28.0,0,0,0,0,0,0,0,0,1,14,0.5,0.011049723756906077,0.3333333333333333,0.002079002079002079
1723,16.96,25.311475409836067,0,0,0,0,0,0,0,0,1,14,0.5,0.011049723756906077,0.25,0.002772002772002772
1728,37.05,25.311475409836067,0,0,0,0,0,0,0,1,0,14,0.5,0.011049723756906077,0.07142857142857142,0.009702009702009703
1745,53.62,24.0,1,0,0,0,0,0,1,0,0,14,0.14285714285714285,0.038674033149171276,0.025641025641025623,0.027027027027027032
